 -991 , 913 , 188 , -495 , -226 ,= H5 , 761 , -192 , 106 , -877 , 214 , -65 , -49 , 464 , -759 , 130 
 115 , 600 , 394 , -964 , -227 , -11 , 738 , -397 , -81 , -366 , -445 , -575 , 833 , 592 , 387 , 519 
= E16 , -667 ,= P5 , -616 , -190 , 713 , -672 , -589 , -300 , 781 , -545 , 250 , 826 , -148 , 414 , 337 
= E16 , -200 , -855 , -239 , -93 , 686 , -518 , -526 , 814 , -576 , 972 , 557 , 977 , -719 , 184 , 0 
 70 , 26 , -381 , 209 , -337 , -711 , -698 ,= A4 , 408 , 882 , -771 , 903 ,= F1 , -944 , -467 ,= E16 
 -773 , 379 , 339 , 65 , 245 , 478 , 46 , -344 , -980 , -789 , 930 , 203 , 676 , 317 , 880 , 425 
 -10 ,= E16 , -158 , -977 , 220 , 676 , 189 , 48 , -589 , -509 , -624 , -280 , 176 , -750 , -551 , -286 
= K9 , -226 , 583 , 684 , -836 , 177 , 537 , -447 , -388 ,= A4 , 248 , 872 , -86 , -739 , -258 , 721 
 757 , 528 , 255 , 71 , 679 , -238 , 838 , 812 , 74 , 882 ,= G15 , 894 , 335 , -735 , -32 , 209 
 99 , 758 , 994 , 71 , 817 , 117 , 167 , 479 , -410 , -61 , 666 , 851 , -858 , 954 , 495 , 257 
 224 , -125 , 365 , -365 , -994 , 547 , 735 , 180 , -660 , -55 , 948 , -862 , 80 , 983 , 54 , -449 
 -877 , 234 , -442 , 10 , -959 , 485 , 772 , 519 , 650 , -488 , 537 , -839 , -480 , 407 , 796 , 978 
 -956 , -990 , 310 , 19 , 777 , -86 , 474 , -151 , 591 , 904 , 75 , -887 , -443 , -289 , 624 ,= H5 
 -51 , -821 , -551 , -813 , -147 , 695 , -785 , -712 , -374 , -254 , 494 , -119 , 610 , -469 , -363 , 602 
 -579 , 913 , -78 , 712 , -8 , 185 ,= A3 , 609 , -176 , -815 , 197 , 487 , -22 , 26 , 382 , 72 
 31 , 548 , -927 ,= P5 ,= G2 , -922 , 8 ,= B7 , -191 , -788 , 644 , -627 , 450 , -149 , -453 , 442 
 -761 , -125 , -334 , -835 , 135 , -108 , -976 , 30 , -424 , 793 , -461 , 338 , -972 , 467 , 525 , -45 
