 -256 , 753 , -260 , -535 , -611 , 424 , 761 , 733 , 537 , 116 , -756 ,= ( D4 - W28 ) , -172 , -895 , 980 , -527 , 277 , -555 , -759 , -89 , -652 , -19 , 162 , -713 , -101 , 663 
= ( N5 + Y11 ) , 987 , 206 , -731 , -199 , -222 , -288 , 829 , -436 , 546 , -235 , -922 , 915 , 865 , -517 , 699 , -459 , 561 , 42 , 394 , 707 ,= ( Y44 - C31 ) ,= ( V2 - J46 ) , -42 , 971 , 157 
 426 , 683 , -423 , 416 , -223 , 137 , -513 , 866 , -950 , 694 , -42 , -692 , 199 , -757 ,= ( E42 + Q27 ) , -625 , 87 , -257 , -849 , 881 , -910 , -434 , 258 , -951 , 447 , -510 
 675 , -577 , 665 ,= ( H49 + I46 ) , 486 , 857 , 882 , -768 , -576 , 952 , 83 , -163 , -300 , 762 ,= ( T20 - C31 ) , -77 , 384 , -447 , 507 , -714 , -654 , -520 , 325 , 179 , 52 , 601 
 350 , 888 , 915 , 86 , -232 ,= ( T20 - O39 ) , -349 , 909 , 926 , -64 , -377 , -559 , 320 ,= ( F47 + J46 ) , -429 , 259 , 163 , 456 , -415 , -793 , -635 , -613 , -180 , 267 , -464 , -562 
 994 , -49 , 188 , -459 , 44 , 300 , 538 , -238 , 810 , -912 , -44 , -842 , -813 , 162 , 83 , 541 , -491 , -137 , -315 , -914 , 342 , 536 , -36 , -20 , -453 , 441 
= ( V2 - Q27 ) , 83 , 403 , -678 , -191 , 390 , -26 , -632 , -826 , 509 , 311 , 374 , 178 , 378 , 540 , 156 , 224 , 654 , -948 , 696 , 133 , -159 , -96 , -750 , -430 , -872 
 -403 , 706 , 171 , -598 , 668 , -38 , -94 , 802 , -8 , 503 , 314 , 796 , -703 , 834 , -848 , 79 , -609 , 141 , -676 , 827 , -864 , 868 , -442 , -314 , -114 , 201 
 946 , -887 , 350 , -846 , -992 ,= ( A2 - M15 ) , 689 , 350 , 146 , -801 , -962 , 406 , 170 , 301 , -71 , 554 , -500 , -693 , 110 , -447 , -601 , 588 , 133 , -896 , -582 , 416 
 284 , -452 , 801 , -760 , -260 , -692 , 843 , -775 , 646 , 740 , -182 , 997 , -520 , 440 , -978 , -317 , 590 , 701 , 498 , -926 , 305 , -419 , -916 , 174 , 1 , 919 
 -453 , 181 , 296 , -942 , -529 , -810 , -497 , -414 , -896 , -6 , -270 , 714 , -466 , -412 , -149 , -712 , -111 , 483 , 661 , 178 , 919 , -130 , -112 , 997 ,= ( C31 + H27 ) , -822 
 336 , -784 , -586 , 466 , -969 , -690 , 816 , 32 , -310 , -405 , -557 , -389 , -319 , 666 , -228 , 121 , -701 , 263 , 631 , -868 , -728 , 443 , -224 , 997 , -181 , -148 
 -447 , 272 , -991 , 849 , -418 , -248 , -133 , 874 , -238 , 478 , 106 , -425 , -114 , -522 , -646 , -804 , 280 , 9 , -559 , 970 , -500 , -996 , -409 , 478 , -854 , 719 
 156 , -266 , -136 , -895 , 295 , 492 , -924 , -73 , 399 , 956 , -57 , -385 ,= ( O34 - J46 ) , 114 , -388 , -713 , -687 , -870 , -67 , 267 , -879 , 206 , 246 , -69 , 920 , -415 
 -475 , 924 , -711 , 351 , -991 , -606 , -312 , 434 , 876 , -431 , 821 , -297 ,= ( Q27 - A7 ) , -802 , 289 , -42 , 956 , 59 , -256 , 5 , 630 , 588 , 511 , 32 , 794 , 356 
 859 , -58 , -65 , 569 , -776 , -117 , 789 , 22 , 723 , 25 , -722 , -764 , 254 , -23 , -168 , 365 , -630 , -194 , 442 , -360 , -451 , 731 , 570 , -424 , 496 , 689 
 -706 , -483 , 68 , 14 , -326 , -857 , -537 , -276 , -719 , -142 , 917 , 108 , 729 , -815 , -294 , -892 , -536 , -862 , -632 , -63 , -386 , -339 , 528 , 819 , -202 , 443 
 -441 , 4 , -453 , -803 , -374 , -810 , 388 , 291 , -383 , 881 , 388 , -802 , 283 , 715 , -178 , -344 , 180 , -883 , 971 , -425 , 893 , -642 , 440 , 38 , 594 , 728 
 -616 , -180 , -945 , -291 , -892 , 494 , 270 , -317 , -992 , -295 , 847 , 230 , 190 , -503 , 55 , 562 , -366 ,= ( E42 - O3 ) , -636 , -525 , -517 , 898 , -244 , 624 , -754 , 21 
 349 , 956 , -684 , 67 , 125 , 821 , -817 , 340 , 390 , 969 , 542 , 755 , 814 , 468 , 519 , 820 , -929 , -437 , -21 ,= ( Q27 - U25 ) , -364 , 675 , -488 , -24 , 733 ,= ( C31 + J46 ) 
 920 , 173 , -247 , -521 , -399 , -174 , 789 , 862 , -673 , -617 , -151 , 361 , -524 , 315 , 215 , -261 , -576 , -551 , -116 , 28 , 79 , -489 , -973 , -448 , -694 , 880 
 -853 , -106 , 839 , -386 , 217 , -832 , -306 , -754 , -425 , 236 , -701 , -328 , 797 , 341 , 292 , 300 , -583 , -482 , -362 , 532 , 888 , -132 , 478 , -764 , -185 , 574 
 813 , -4 , -401 , -69 , 423 , -275 , 587 , 204 , 743 , -893 , -524 , 903 , -258 , 641 , 89 , -631 , -415 , -146 , 321 , 438 , -854 , 993 , 771 , 415 , 38 , -694 
